imageid,count,lon,lat,t
26863950,0,-8230974.45931491,4982445.2073068,2016-12-02 12:37:28
19995148,0,-8235827.41025215,4972583.64790593,2016-10-24 08:13:44
42335397,0,-8236023.16557671,4973453.47812164,2017-02-28 08:07:56
29585661,0,-8232708.47189105,4979135.11952837,2016-12-12 11:54:38
7029835,0,-8234645.80951712,4980718.78347371,2016-08-09 09:53:48
20585722,1,-8236055.72652776,4975633.65305518,2016-10-26 08:18:36
40440613,1,-8236674.65176463,4973276.40608768,2017-02-16 09:21:18
8922076,0,-8237498.02637828,4977027.71952201,2016-08-29 00:42:06
19784759,0,-8236991.43363958,4977484.51600232,2016-10-21 14:23:44
44473768,0,-8232409.12264836,4981663.32662696,2017-03-10 08:40:50
4920763,0,-8235904.1984369,4970747.65092293,2016-07-22 09:33:10
8948193,1,-8236086.97390883,4974584.18213722,2016-08-29 15:56:22
14561479,6,-8237163.93432251,4972079.28173114,2016-09-22 13:35:36
23217828,7,-8236510.23287672,4973222.62254328,2016-11-10 13:56:28
25888135,0,-8233895.61633672,4977231.35807993,2016-11-27 23:27:38
42238484,0,-8233142.00564795,4977168.73465628,2017-02-27 08:11:48
21993722,1,-8233956.70847326,4977594.42312132,2016-11-03 09:55:58
37049762,0,-8238518.2249836,4970291.96227504,2017-01-27 12:47:18
41693382,0,-8235396.02496142,4973957.34222428,2017-02-23 12:25:12
6919889,0,-8235639.22465296,4979308.85796455,2016-08-08 09:21:12
10516693,0,-8237589.20817319,4972231.49225007,2016-09-08 09:43:12
18425879,0,-8237454.83441585,4970195.61931092,2016-10-11 11:10:50
14792249,1,-8235875.21084149,4977432.37007779,2016-09-23 18:01:10
2173568,0,-8236530.57094769,4971433.81618811,2016-06-13 16:39:52
43590153,0,-8233090.44245981,4978804.73249832,2017-03-07 10:45:28
21986535,5,-8236587.70011037,4976319.92631119,2016-11-04 13:04:34
20411355,0,-8233885.99833271,4982992.16693685,2016-10-27 08:57:26
27595503,0,-8237796.13997462,4975816.58694752,2016-12-05 11:33:38
24576262,0,-8236756.09310409,4971116.39432486,2016-11-17 13:10:36
9147785,0,-8228012.98237354,4994036.50139207,2016-09-02 10:12:10
24399041,0,-8237786.03216486,4975026.5821814,2016-11-18 11:16:58
13764936,0,-8235957.60952858,4976126.94612002,2016-09-19 11:19:56
8564183,0,-8238034.40821272,4971232.81003101,2016-08-22 08:37:32
28429536,0,-8237018.05012982,4976417.66697126,2016-12-08 11:46:06
26064594,0,-8232557.05511967,4984126.03489117,2016-11-28 15:47:18
39662210,0,-8230856.52744637,4981553.10904327,2017-02-13 09:53:02
2117056,0,-8232396.83297658,4978199.19895275,2016-06-15 17:23:06
8635341,0,-8235252.67885313,4978865.19090178,2016-08-26 07:58:50
6960404,0,-8228703.27453595,4982588.31527855,2016-08-08 17:19:16
30924238,0,-8239365.75592676,4968912.98249165,2016-12-19 11:02:26
35394435,0,-8237499.11730929,4977365.27743612,2017-01-17 11:03:42
24371993,0,-8234267.54588741,4982514.87880492,2016-11-15 12:57:20
21614345,0,-8233558.08450868,4977139.1205744,2016-11-02 08:10:36
10566871,0,-8237234.14352535,4976769.28279048,2016-09-09 10:10:40
25969195,0,-8231442.62456539,4985671.04274316,2016-11-25 10:46:38
18734143,0,-8237064.83771181,4971614.76198423,2016-10-13 09:06:20
12592000,2,-8236500.2029906,4973180.51850554,2016-09-15 11:59:20
27094520,0,-8238507.05963868,4971408.80218982,2016-12-01 11:22:20
36460805,3,-8237138.0970687,4973922.47815254,2017-01-23 12:26:08
17118341,0,-8236778.37926615,4976853.31623037,2016-10-04 15:48:34
26702536,0,-8235854.65013154,4974153.77633941,2016-12-01 15:30:52
11923650,2,-8237801.20501145,4973947.20474433,2016-09-14 11:18:08
10962908,2,-8235592.50386267,4980016.58848552,2016-09-07 08:48:38
27962340,0,-8239201.55967784,4969444.05928434,2016-12-07 11:09:36
26310974,0,-8235398.7634209,4973353.53405793,2016-11-29 14:37:04
29120220,2,-8235476.46442547,4980332.53543249,2016-12-08 12:03:14
21231956,0,-8234192.78371739,4981904.38046558,2016-10-26 13:19:32
19836384,9,-8236551.48788001,4973349.71437269,2016-10-24 12:46:26
34022154,0,-8229076.56218443,4982070.72784745,2017-01-09 14:31:30
38216286,0,-8232994.22902392,4977099.30704449,2017-02-03 16:58:20
37896150,0,-8230448.75301964,4990238.60241124,2017-02-01 11:18:44
39430257,0,-8232724.56868942,4978518.08567715,2017-02-08 14:29:12
31397160,0,-8235624.8755706,4973560.07841401,2016-12-21 09:49:20
24305864,0,-8234509.28729361,4980959.41702385,2016-11-15 09:36:48
17046553,2,-8235128.19026658,4975445.65307175,2016-10-03 14:22:54
17302429,0,-8239306.38924232,4970864.25317423,2016-10-05 09:33:30
35808835,0,-8235499.63001151,4970585.13857941,2017-01-19 08:06:24
33908291,0,-8233355.23813256,4977648.65696413,2017-01-09 14:35:14
26951638,1,-8232624.97114101,4978945.78798907,2016-12-01 15:49:10
32735922,0,-8238811.13995973,4971355.64581994,2016-12-30 10:52:02
11940967,0,-8237916.44294832,4971617.94938642,2016-09-13 09:12:34
26595289,0,-8229864.32569298,4983117.04772799,2016-11-30 08:02:48
37455885,0,-8232530.62787256,4981436.76144189,2017-01-30 13:30:10
1187655,0,-8236904.64896455,4971404.79231819,2016-07-05 11:42:18
4228513,0,-8237455.54686059,4971470.15489977,2016-07-15 09:24:22
212918,0,-8233470.47606943,4977449.72752627,2016-07-14 10:20:36
11421538,0,-8232389.74192501,4980895.7699242,2016-09-12 09:57:40
85067,1,-8230895.14417772,4990423.6203954,2016-07-11 13:24:26
21870791,1,-8237882.94691354,4971193.02055538,2016-11-02 15:03:56
36419777,0,-8231101.48598586,4981114.86824469,2017-01-23 12:11:54
30015318,1,-8236780.06019046,4970006.07904891,2016-12-15 16:05:16
25641943,0,-8233925.06034203,4978078.11438627,2016-11-25 11:48:00
42365473,2,-8237971.61288796,4970839.85750063,2017-02-28 13:43:26
14312906,1,-8235376.26575181,4980186.32912765,2016-09-22 16:15:42
1092308,1,-8237035.72766496,4972472.95981347,2016-07-06 13:17:06
6325226,0,-8232288.41892449,4979593.60223277,2016-08-03 09:04:28
2728424,2,-8236534.57844936,4974891.88673963,2016-06-10 16:41:10
22385307,0,-8233792.92410646,4981519.04123986,2016-11-07 13:21:22
10587716,0,-8236892.67098735,4978060.60883934,2016-09-09 15:08:14
6162410,0,-8234395.27387114,4982162.30613618,2016-08-02 10:35:20
28007443,1,-8235029.3051629,4975185.56839071,2016-12-07 07:39:08
41411578,0,-8238927.47995955,4970283.45879535,2017-02-22 10:15:38
21769176,1,-8237539.30364546,4975486.59132502,2016-11-03 15:16:08
38238474,0,-8231941.74776626,4982409.41593694,2017-02-03 09:58:50
7341631,0,-8231447.99016485,4982715.47020684,2016-08-12 10:19:28
13966368,4,-8236530.61547549,4972513.40085177,2016-09-21 16:22:54
4140312,0,-8237828.08866848,4970387.41030316,2016-08-22 15:45:52
33841096,0,-8230766.38092272,4984779.97334382,2017-01-09 11:54:14
26700909,0,-8232978.88919809,4979357.11837313,2016-12-02 14:40:20
29698811,0,-8236976.95097382,4971537.98556446,2016-12-14 10:51:40
17665116,0,-8236387.09125601,4977859.21646626,2016-10-06 15:56:52
19066721,0,-8236619.79351956,4971028.94392264,2016-10-14 12:53:46
42287314,0,-8236558.13365361,4973653.41338979,2017-02-27 09:32:56
36376662,1,-8233129.70484421,4977486.1327068,2017-01-23 12:14:42
27996135,2,-8237516.67239299,4976254.56067791,2016-12-06 12:51:36
16172283,0,-8233987.05416645,4977018.03445096,2016-09-29 10:36:02
19411082,0,-8231568.60483312,4987810.17679296,2016-10-21 10:15:36
6364146,1,-8234057.74204311,4983059.12178316,2016-08-03 16:57:12
22795450,0,-8234564.62421248,4974906.93280573,2016-11-07 16:44:40
32174794,0,-8235818.8720472,4972149.46690855,2016-12-27 12:56:44
16545885,3,-8236514.20698255,4973617.28693344,2016-09-22 15:34:08
37848068,0,-8238134.59575443,4971335.14125713,2017-02-01 11:58:32
2674995,1,-8229909.17631582,4990030.63061158,2016-05-03 17:28:06
968553,0,-8238416.14501055,4971881.8757684,2016-07-07 08:44:40
21753994,0,-8236899.94015009,4974288.81422797,2016-11-02 15:39:46
10364838,5,-8237848.47126725,4971104.58539047,2016-09-07 10:06:58
3451661,0,-8237743.63057081,4969315.19727162,2016-08-03 17:13:42
37928893,1,-8232526.99885716,4979154.77317561,2017-02-01 14:03:48
23038012,3,-8234532.99834515,4982079.24159241,2016-11-11 08:27:36
22473406,0,-8235383.54604651,4980139.4318425,2016-11-07 11:31:04
10747388,0,-8232749.5599151,4984734.4659747,2016-09-09 12:24:06
22461910,0,-8238152.56272024,4971258.45516092,2016-11-07 15:02:02
32599156,1,-8238338.27702673,4972842.81131275,2017-01-02 08:42:52
25287023,1,-8235717.81621346,4977845.63563828,2016-11-22 14:44:48
17543427,0,-8234410.2352107,4976337.53160822,2016-10-06 22:54:58
19887074,0,-8237281.10921852,4977391.39427603,2016-10-21 15:22:50
15771528,1,-8238220.17817895,4972290.35290766,2016-09-27 09:30:44
6284807,1,-8232366.08653322,4983351.49028771,2016-08-02 17:46:28
36996585,0,-8236460.3951407,4976091.98613529,2017-01-24 09:36:10
40958239,0,-8229916.27849933,4983119.37124348,2017-02-14 13:50:56
33321579,0,-8235388.15467343,4980838.13650284,2017-01-04 09:44:00
8402414,0,-8235484.51282466,4975607.36457983,2016-08-24 10:56:08
33229884,0,-8239431.12273175,4969156.96732215,2017-01-05 10:06:30
